Nome,Email,CPF,RG,Telefone,Endereço,Organização Militar
Usuário 1,usuario1@exemplo.com,216.757.058-95,48192398314,29085359789,"Travessa do Sol, N° 720, Bairro 41",10° B Log
Usuário 2,usuario2@exemplo.com,042.024.809-96,235926207771,29085359789,"Av. Paulista, N° 788, Bairro 17",2° Cia Eng Cmb
Usuário 3,usuario3@exemplo.com,471.809.408-95,129909392750,29085359789,"Rua Tiradentes, N° 606, Bairro 5",12° BE Cmb
Usuário 4,usuario4@exemplo.com,959.804.540-47,959279434675,29085359789,"Rua das Flores, N° 373, Bairro 40",2° Cia Eng Cmb
Usuário 5,usuario5@exemplo.com,501.014.998-25,945323448017,29085359789,"Rua das Flores, N° 173, Bairro 42",Não sou militar
Usuário 6,usuario6@exemplo.com,716.946.677-58,61325658861,29085359789,"Travessa do Sol, N° 895, Bairro 7",2° Cia Eng Cmb
Usuário 7,usuario7@exemplo.com,170.950.474-99,23507512098,29085359789,"Rua das Flores, N° 869, Bairro 39",12° BE Cmb
Usuário 8,usuario8@exemplo.com,573.382.592-83,931504770897,29085359789,"Rua Tiradentes, N° 475, Bairro 11",Não sou militar
Usuário 9,usuario9@exemplo.com,786.657.313-18,705399714230,29085359789,"Rua das Flores, N° 525, Bairro 14",12° BE Cmb
Usuário 10,usuario10@exemplo.com,088.999.331-97,85315301498,29085359789,"Travessa do Sol, N° 612, Bairro 23",H Gu A
Usuário 11,usuario11@exemplo.com,617.582.549-71,222823827709,29085359789,"Av. Paulista, N° 313, Bairro 19",12° Cia Com
Usuário 12,usuario12@exemplo.com,340.767.604-25,9855692398,29085359789,"Rua das Flores, N° 688, Bairro 40",2° Cia Eng Cmb
Usuário 13,usuario13@exemplo.com,226.234.421-34,321217590261,29085359789,"Travessa do Sol, N° 10, Bairro 30",6° RCB
Usuário 14,usuario14@exemplo.com,338.122.612-60,237677790317,29085359789,"Rua Tiradentes, N° 449, Bairro 5",10° B Log
Usuário 15,usuario15@exemplo.com,046.410.555-21,17476806528,29085359789,"Rua Tiradentes, N° 894, Bairro 19",H Gu A
Usuário 16,usuario16@exemplo.com,135.234.394-00,35402345976,29085359789,"Rua das Flores, N° 326, Bairro 21",H Gu A
Usuário 17,usuario17@exemplo.com,012.112.642-03,45785190979,29085359789,"Av. Paulista, N° 857, Bairro 15",10° B Log
Usuário 18,usuario18@exemplo.com,982.193.395-51,785294186800,29085359789,"Rua das Flores, N° 212, Bairro 27",10° B Log
Usuário 19,usuario19@exemplo.com,328.802.713-55,94994953123,29085359789,"Av. Paulista, N° 332, Bairro 21",6° RCB
Usuário 20,usuario20@exemplo.com,117.029.984-95,972867625582,29085359789,"Av. Central, N° 697, Bairro 35",2° Cia Eng Cmb
Usuário 21,usuario21@exemplo.com,808.609.055-86,55055153479,29085359789,"Rua Tiradentes, N° 113, Bairro 21",2° Cia Eng Cmb
Usuário 22,usuario22@exemplo.com,278.371.608-94,54610161819,29085359789,"Travessa do Sol, N° 406, Bairro 35",Não sou militar
Usuário 23,usuario23@exemplo.com,582.870.961-54,687850486025,29085359789,"Rua Tiradentes, N° 958, Bairro 11",2° Cia Eng Cmb
Usuário 24,usuario24@exemplo.com,971.698.123-63,79364562423,29085359789,"Rua Tiradentes, N° 177, Bairro 23",H Gu A
Usuário 25,usuario25@exemplo.com,432.309.257-18,810099237359,29085359789,"Rua Tiradentes, N° 451, Bairro 40",H Gu A
